Zeit[min * 1];Einheitstemperaturzeitkurve[°C * 1];Externe-Brandkurve[°C * 1];HydroKarbon-Brandkurve[°C * 1];

1.7;421.702;416.502;825.354
1.71;422.52;417.355;826.052
1.72;423.335;418.204;826.742
1.73;424.145;419.051;827.426
1.74;424.95;419.895;828.103
1.75;425.751;420.735;828.773
1.76;426.548;421.573;829.437
1.77;427.341;422.407;830.094
1.78;428.13;423.238;830.746
1.79;428.914;424.067;831.391
1.8;429.695;424.892;832.03
1.81;430.471;425.715;832.664
1.82;431.243;426.535;833.292
1.83;432.012;427.351;833.914
1.84;432.776;428.165;834.531
1.85;433.537;428.976;835.143
1.86;434.293;429.785;835.749
1.87;435.046;430.59;836.351
1.88;435.796;431.393;836.947
1.89;436.541;432.192;837.539
1.9;437.283;432.989;838.126
1.91;438.021;433.784;838.708
1.92;438.755;434.575;839.285
1.93;439.486;435.364;839.858
1.94;440.213;436.15;840.427
1.95;440.937;436.934;840.992
1.96;441.658;437.715;841.552
1.97;442.375;438.493;842.108
1.98;443.088;439.268;842.66
1.99;443.798;440.041;843.209
2;444.505;440.812;843.753
2.01;445.208;441.579;844.294
2.02;445.908;442.345;844.831
2.03;446.605;443.107;845.364
2.04;447.299;443.867;845.894
2.05;447.989;444.624;846.42
2.06;448.677;445.379;846.943
2.07;449.361;446.132;847.463
2.08;450.042;446.882;847.979
2.09;450.72;447.629;848.492
2.1;451.395;448.374;849.002
2.11;452.067;449.116;849.509
2.12;452.736;449.856;850.013
2.13;453.402;450.594;850.514
2.14;454.065;451.329;851.012
2.15;454.725;452.062;851.507
2.16;455.382;452.792;851.999
2.17;456.036;453.52;852.489
2.18;456.688;454.245;852.976
2.19;457.336;454.968;853.46
2.2;457.982;455.689;853.942
2.21;458.625;456.407;854.421
2.22;459.265;457.123;854.898
2.23;459.903;457.837;855.372
2.24;460.538;458.548;855.844
2.25;461.17;459.257;856.313
2.26;461.8;459.963;856.78
2.27;462.426;460.668;857.245
2.28;463.051;461.37;857.708
2.29;463.672;462.069;858.168
2.3;464.292;462.767;858.627
2.31;464.908;463.462;859.083
2.32;465.522;464.155;859.537
2.33;466.134;464.846;859.989
2.34;466.743;465.534;860.439
2.35;467.349;466.22;860.887
2.36;467.954;466.904;861.333
2.37;468.555;467.586;861.777
2.38;469.155;468.265;862.22
2.39;469.752;468.943;862.66
2.4;470.346;469.618;863.099
2.41;470.938;470.291;863.536
2.42;471.528;470.961;863.971
2.43;472.116;471.63;864.404
2.44;472.701;472.296;864.836
2.45;473.284;472.961;865.266
2.46;473.865;473.623;865.694
2.47;474.443;474.283;866.121
2.48;475.02;474.94;866.546
2.49;475.594;475.596;866.97
2.5;476.166;476.25;867.392
2.51;476.735;476.901;867.813
2.52;477.303;477.551;868.232
2.53;477.868;478.198;868.649
2.54;478.432;478.843;869.065
2.55;478.993;479.486;869.48
2.56;479.552;480.127;869.893
2.57;480.109;480.766;870.305
2.58;480.664;481.403;870.715
2.59;481.217;482.038;871.124
2.6;481.767;482.671;871.532
2.61;482.316;483.302;871.939
2.62;482.863;483.931;872.344
2.63;483.408;484.557;872.748
2.64;483.951;485.182;873.15
2.65;484.492;485.805;873.552
2.66;485.031;486.426;873.952
2.67;485.568;487.044;874.351
2.68;486.103;487.661;874.748
2.69;486.636;488.276;875.145
2.7;487.167;488.889;875.54
2.71;487.697;489.499;875.934
2.72;488.224;490.108;876.328
2.73;488.75;490.715;876.719
2.74;489.274;491.32;877.11
2.75;489.796;491.923;877.5
2.76;490.316;492.524;877.889
2.77;490.835;493.123;878.276
2.78;491.351;493.721;878.663
2.79;491.866;494.316;879.048
2.8;492.379;494.909;879.432
2.81;492.891;495.501;879.816
2.82;493.4;496.091;880.198
2.83;493.908;496.678;880.579
2.84;494.415;497.264;880.96
2.85;494.919;497.848;881.339
2.86;495.422;498.43;881.717
2.87;495.923;499.01;882.095
2.88;496.422;499.589;882.471
2.89;496.92;500.165;882.847
2.9;497.416;500.74;883.221
2.91;497.911;501.313;883.595
2.92;498.404;501.884;883.968
2.93;498.895;502.453;884.339
2.94;499.385;503.02;884.71
2.95;499.873;503.586;885.08
2.96;500.359;504.15;885.449
2.97;500.844;504.711;885.818
2.98;501.327;505.272;886.185
2.99;501.809;505.83;886.552
3;502.289;506.386;886.917
3.01;502.768;506.941;887.282
3.02;503.245;507.494;887.646
3.03;503.721;508.045;888.009
3.04;504.195;508.595;888.372
3.05;504.668;509.142;888.733
3.06;505.139;509.688;889.094
3.07;505.608;510.233;889.454
3.08;506.077;510.775;889.813
3.09;506.543;511.316;890.171
3.1;507.009;511.855;890.529
3.11;507.473;512.392;890.886
3.12;507.935;512.928;891.242
3.13;508.396;513.461;891.597
3.14;508.856;513.993;891.951
3.15;509.314;514.524;892.305
3.16;509.771;515.053;892.658
3.17;510.226;515.58;893.01
3.18;510.68;516.105;893.361
3.19;511.133;516.629;893.712
3.2;511.584;517.151;894.062
3.21;512.034;517.671;894.411
3.22;512.483;518.19;894.76
3.23;512.93;518.707;895.108
3.24;513.376;519.222;895.455
3.25;513.82;519.736;895.801
3.26;514.264;520.248;896.147
3.27;514.706;520.758;896.492
3.28;515.146;521.267;896.836
3.29;515.586;521.774;897.18
3.3;516.024;522.28;897.523
3.31;516.461;522.784;897.865
3.32;516.896;523.286;898.207
3.33;517.331;523.787;898.547
3.34;517.764;524.286;898.888
3.35;518.195;524.783;899.227
3.36;518.626;525.279;899.566
3.37;519.055;525.773;899.904
3.38;519.483;526.266;900.242
3.39;519.91;526.757;900.579
3.4;520.336;527.247;900.915
3.41;520.76;527.735;901.251
3.42;521.184;528.222;901.586
3.43;521.606;528.706;901.92
3.44;522.027;529.19;902.254
3.45;522.446;529.672;902.587
3.46;522.865;530.152;902.919
3.47;523.282;530.631;903.251
3.48;523.698;531.108;903.582
3.49;524.113;531.584;903.913
3.5;524.527;532.058;904.243
3.51;524.94;532.531;904.572
3.52;525.352;533.002;904.901
3.53;525.762;533.471;905.229
3.54;526.172;533.94;905.556
3.55;526.58;534.406;905.883
3.56;526.987;534.871;906.209
3.57;527.393;535.335;906.535
3.58;527.798;535.797;906.86
3.59;528.202;536.258;907.184
3.6;528.605;536.717;907.508
3.61;529.006;537.175;907.831
3.62;529.407;537.631;908.154
3.63;529.806;538.086;908.476
